Task ID,Task Name,Description,Status,Priority,Estimado (dias),Start Date,Due Date,Sprint,Fase,Subtask IDs
17,Enums de finanzas/operacion,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
18,Validar con el ERD,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
19,Definir matriz de roles x permisos (6 roles),,to do,High,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"20,21,22"
20,Listar permisos por modulo,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
21,Asignar permisos a cada rol,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
22,Definir menus por rol,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
23,Inicializar repo Next.js + TypeScript,,to do,High,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"24,25,26"
24,Crear proyecto + estructura,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
25,ESLint/Prettier,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
26,Convenciones de git,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
27,Configurar conexion pg (pool) + .env,,to do,High,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"28,29,30"
28,lib/db.ts con Pool,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
29,Variables .env,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
30,Probar conexion,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
31,Configurar runner de migraciones,,to do,High,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"32,33,34"
32,Instalar node-pg-migrate,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
33,Carpeta db/migrations,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
34,Migracion de prueba up/down,,to do,High,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
35,Configurar i18n (next-intl) es/en,,to do,Normal,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"36,37,38"
36,Segmento [locale],,to do,Normal,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
37,messages/es.json y en.json,,to do,Normal,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
38,Middleware de idioma,,to do,Normal,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
39,Integrar Tailwind + shadcn/ui + tokens,,to do,Normal,2,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,"40,41,42"
40,Copiar componentes shadcn,,to do,Normal,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
41,Design tokens (index.css),,to do,Normal,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
42,Layout base,,to do,Normal,,2026-07-06,2026-07-17,S0 — Planeamiento y diseno,Planeamiento,
43,S1 — BD Identidad y transversales,"META SMART
Especifico: Crear y migrar identidad, acceso y soporte con FKs, indices, triggers y seed.
Medible: 7 tablas migradas + funcion set_updated_at + seed con 6 roles, permisos y admin.
Alcanzable: equipo de 2, stack Next.js+pg+PostgreSQL.
Relevante: avanza el entregable de tesis.
Temporal: 2 semanas.",to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"44,48,52,56,60,71,80,88,96"
44,Infra: pgcrypto + funcion/trigger set_updated_at,,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"45,46,47"
45,CREATE EXTENSION pgcrypto,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
46,Funcion set_updated_at(),,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
47,Patron de trigger reutilizable,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
48,Tabla rol,,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"49,50,51"
49,id — UUID PK,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
50,nombre — TEXT NOT NULL UNIQUE,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
51,descripcion — TEXT,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
52,Tabla permiso,,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"53,54,55"
53,id — UUID PK,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
54,codigo — TEXT NOT NULL UNIQUE,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
55,descripcion — TEXT,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
56,Tabla rol_permiso (union),,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"57,58,59"
57,rol_id — UUID FK rol(id) CASCADE,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
58,permiso_id — UUID FK permiso(id) CASCADE,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
59,"PK compuesta (rol_id, permiso_id)",,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
60,Tabla usuario,,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"61,62,63,64,65,66,67,68,69,70"
61,id — UUID PK,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
62,email — TEXT NOT NULL UNIQUE,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
63,password_hash — TEXT NOT NULL,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
64,nombre — TEXT NOT NULL,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
65,idioma — TEXT DEFAULT 'es',,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
66,activo — BOOLEAN DEFAULT TRUE,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
67,rol_id — UUID FK rol(id),,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
68,created_at — TIMESTAMPTZ,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
69,updated_at — TIMESTAMPTZ + trigger,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
70,indice idx_usuario_rol,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
71,Tabla documento (reemplaza *_url),,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"72,73,74,75,76,77,78,79"
72,id — UUID PK,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
73,nombre — TEXT NOT NULL,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
74,storage_key — TEXT NOT NULL,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
75,tipo — TEXT,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
76,mime — TEXT,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
77,tamano_bytes — BIGINT,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
78,subido_por — UUID FK usuario(id),,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
79,created_at — TIMESTAMPTZ,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
80,Tabla notificacion,,to do,Normal,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"81,82,83,84,85,86,87"
81,id — UUID PK,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
82,usuario_id — UUID FK usuario(id),,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
83,titulo — TEXT,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
84,mensaje — TEXT,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
85,tipo — TEXT,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
86,leida — BOOLEAN DEFAULT FALSE,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
87,created_at — TIMESTAMPTZ,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
88,Tabla audit_log,,to do,Normal,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"89,90,91,92,93,94,95"
89,id — UUID PK,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
90,usuario_id — UUID FK usuario(id),,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
91,accion — TEXT,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
92,entidad — TEXT,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
93,entidad_id — UUID,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
94,datos — JSONB,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
95,created_at — TIMESTAMPTZ,,to do,Normal,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
96,"seed.sql: roles, permisos y admin inicial",,to do,High,2,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,"97,98,99,100"
97,Insertar 6 roles,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
98,Insertar permisos por modulo,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
99,Vincular rol_permiso,,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
100,Crear usuario super_admin (hash),,to do,High,,2026-07-20,2026-07-31,S1 — BD Identidad y transversales,Base de datos,
101,S2 — BD Estudiante y Academico,"META SMART
Especifico: Construir el nucleo del beneficiario (normalizado) y el dominio academico.
Medible: 10 tablas migradas (estudiante + 4 perfiles + periodo, materia, curso, inscripcion, calificacion, historial) con enums y FKs.
Alcanzable: equipo de 2, stack Next.js+pg+PostgreSQL.
Relevante: avanza el entregable de tesis.
Temporal: 2 semanas.",to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"102,106,127,135,148,154,161,167,178,189,197,205"
102,Crear enums (estudiante y academico),,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"103,104,105"
103,"tipo_estudiante, estado_estudiante, genero, parentesco",,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
104,"estado_materia, estado_curso, modalidad_curso",,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
105,"tipo_evaluacion, nota_letra, estado_historial",,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
106,Tabla estudiante (normalizada),,to do,Urgent,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126"
107,id — UUID PK,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
108,nombre — TEXT NOT NULL,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
109,cedula — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
110,email — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
111,telefono — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
112,fecha_nacimiento — DATE,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
113,genero — genero,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
114,nacionalidad — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
115,religion — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
116,foto_id — UUID FK documento(id),,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
117,tipo — tipo_estudiante DEFAULT regular,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
118,estado — estado_estudiante DEFAULT activo,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
119,programa — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
120,universidad — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
121,fecha_ingreso — DATE,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
122,centro_educativo — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
123,facilitador_habitudes — TEXT,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
124,usuario_id — UUID UNIQUE FK usuario(id),,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
125,patrocinador_id — UUID FK patrocinador(id),,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
126,created_at / updated_at + trigger,,to do,Urgent,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
127,Tabla familiar,,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"128,129,130,131,132,133,134"
128,id — UUID PK,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
129,estudiante_id — UUID FK estudiante(id) CASCADE,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
130,parentesco — parentesco NOT NULL,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
131,nombre — TEXT NOT NULL,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
132,edad — INTEGER,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
133,telefono — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
134,profesion — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
135,Tabla perfil_vivienda (1:1),,to do,Normal,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"136,137,138,139,140,141,142,143,144,145,146,147"
136,estudiante_id — UUID PK FK estudiante(id),,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
137,con_quien_vive — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
138,casa_propia — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
139,tipo_casa — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
140,bano_dentro — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
141,habitaciones — INT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
142,camas — INT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
143,quienes_duermen_cama — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
144,direccion — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
145,comunidad — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
146,ciudad — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
147,pais — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
148,Tabla perfil_salud (1:1),,to do,Normal,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"149,150,151,152,153"
149,estudiante_id — UUID PK FK estudiante(id),,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
150,enfermedades — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
151,alergias — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
152,contacto_emergencia_nombre — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
153,contacto_emergencia_telefono — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
154,Tabla perfil_socioeconomico (1:1),,to do,Normal,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"155,156,157,158,159,160"
155,estudiante_id — UUID PK FK estudiante(id),,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
156,historia_de_vida — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
157,situacion_familiar — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
158,situacion_economica — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
159,motivo_beca — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
160,metas_academicas — TEXT,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
161,Tabla periodo,,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"162,163,164,165,166"
162,id — UUID PK,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
163,nombre — TEXT NOT NULL (2026-I),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
164,fecha_inicio — DATE,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
165,fecha_fin — DATE,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
166,estado — TEXT (planificado/activo/completado),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
167,Tabla materia,,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"168,169,170,171,172,173,174,175,176,177"
168,id — UUID PK,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
169,nombre — TEXT NOT NULL,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
170,codigo — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
171,descripcion — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
172,periodo_id — UUID FK periodo(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
173,creditos — INT DEFAULT 3,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
174,profesor_nombre — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
175,estado — estado_materia DEFAULT activa,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
176,horario — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
177,aula — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
178,Tabla curso (tecnicos),,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"179,180,181,182,183,184,185,186,187,188"
179,id — UUID PK,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
180,nombre — TEXT NOT NULL,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
181,descripcion — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
182,docente — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
183,periodo_id — UUID FK periodo(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
184,estado — estado_curso DEFAULT activo,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
185,capacidad — INT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
186,inscritos — INT DEFAULT 0,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
187,horario — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
188,modalidad — modalidad_curso DEFAULT presencial,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
189,Tabla inscripcion (matricula),,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"190,191,192,193,194,195,196"
190,id — UUID PK,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
191,estudiante_id — UUID FK estudiante(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
192,materia_id — UUID FK materia(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
193,periodo_id — UUID FK periodo(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
194,estado — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
195,created_at — TIMESTAMPTZ,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
196,"UNIQUE (estudiante_id, materia_id, periodo_id)",,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
197,Tabla calificacion,,to do,High,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"198,199,200,201,202,203,204"
198,id — UUID PK,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
199,estudiante_id — UUID FK estudiante(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
200,curso_id — UUID FK curso(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
201,periodo_id — UUID FK periodo(id),,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
202,"nota — NUMERIC(5,2) NOT NULL",,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
203,tipo_evaluacion — tipo_evaluacion,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
204,observaciones — TEXT,,to do,High,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
205,Tabla historial_calificacion,,to do,Normal,2,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,"206,207,208,209,210,211,212,213"
206,id — UUID PK,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
207,estudiante_id — UUID FK estudiante(id),,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
208,cuatrimestre — TEXT NOT NULL,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
209,materia — TEXT NOT NULL,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
210,"nota_numerica — NUMERIC(5,2) NOT NULL",,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
211,nota_letra — nota_letra,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
212,"gpa — NUMERIC(3,2)",,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
213,estado — estado_historial DEFAULT aprobada,,to do,Normal,,2026-08-03,2026-08-14,S2 — BD Estudiante y Academico,Base de datos,
